State,1980,1985,1990,1995,2000,2005,2010,2014
Mississippi,"572.81 (565.06, 580.21)","539.90 (532.70, 546.64)","486.97 (480.25, 493.99)","475.26 (468.07, 482.45)","448.76 (442.12, 455.82)","394.25 (387.50, 400.84)","347.03 (340.41, 353.50)","347.92 (341.05, 354.71)"
Missouri,"515.03 (506.56, 523.61)","475.16 (466.90, 482.98)","424.76 (417.68, 431.91)","411.80 (404.08, 419.32)","382.85 (375.61, 389.89)","329.02 (322.86, 335.35)","291.21 (285.09, 297.19)","290.00 (283.59, 295.96)"
Montana,"424.79 (413.35, 436.39)","389.60 (378.98, 399.53)","340.02 (331.11, 348.92)","320.97 (313.04, 329.25)","296.82 (289.41, 304.09)","259.28 (253.04, 266.12)","225.59 (219.82, 231.90)","226.92 (220.19, 233.16)"
Nebraska,"460.42 (450.61, 469.61)","430.45 (421.28, 440.00)","374.16 (365.44, 382.67)","353.33 (345.89, 361.15)","317.75 (310.76, 325.38)","268.83 (262.44, 275.10)","231.80 (225.77, 237.79)","227.75 (221.44, 234.05)"
Nevada,"502.48 (489.59, 515.35)","473.02 (462.12, 484.02)","410.96 (401.03, 422.12)","390.26 (380.90, 399.78)","349.13 (341.16, 356.95)","314.43 (307.28, 321.84)","261.57 (255.53, 267.51)","258.28 (252.00, 264.11)"
New Hampshire,"466.18 (452.52, 478.60)","431.47 (419.49, 442.96)","370.30 (360.53, 380.98)","345.78 (336.37, 355.60)","313.00 (304.35, 321.35)","262.50 (255.52, 270.03)","222.31 (215.94, 228.61)","220.47 (213.58, 227.05)"
New Jersey,"547.33 (538.92, 555.32)","498.53 (491.26, 505.60)","423.84 (416.87, 430.20)","389.80 (383.36, 396.60)","351.89 (345.78, 357.65)","292.86 (287.80, 298.17)","255.19 (250.06, 260.00)","248.78 (243.21, 254.35)"
New Mexico,"377.96 (367.69, 388.14)","354.87 (345.80, 363.37)","315.10 (307.39, 322.80)","304.54 (296.91, 312.78)","277.44 (270.76, 284.05)","247.26 (241.69, 253.41)","220.51 (215.31, 226.14)","221.15 (215.47, 226.75)"
New York,"571.46 (564.91, 577.34)","529.70 (524.03, 535.41)","465.92 (460.61, 471.28)","434.74 (429.38, 440.16)","374.16 (369.54, 378.72)","318.79 (314.61, 322.77)","269.44 (265.28, 273.43)","258.45 (253.91, 262.91)"
North Carolina,"527.50 (518.33, 535.91)","483.39 (474.62, 491.53)","422.80 (414.47, 430.89)","394.03 (386.15, 402.07)","362.66 (355.24, 369.77)","303.73 (297.33, 310.27)","260.31 (254.73, 266.39)","255.06 (248.98, 261.38)"
North Dakota,"438.17 (428.42, 448.11)","403.29 (394.14, 412.19)","356.52 (348.86, 364.72)","337.63 (329.58, 346.08)","312.52 (305.33, 319.50)","269.58 (262.88, 276.30)","235.54 (229.33, 242.20)","233.41 (226.65, 240.07)"
Ohio,"541.71 (532.48, 550.75)","496.56 (488.02, 504.74)","432.05 (423.85, 439.90)","408.36 (400.60, 416.21)","371.78 (364.56, 379.10)","318.34 (311.74, 324.72)","275.21 (269.42, 281.37)","275.80 (269.38, 282.27)"
Oklahoma,"503.68 (495.95, 511.77)","479.19 (471.71, 486.43)","444.64 (437.43, 452.32)","436.29 (429.01, 444.01)","420.37 (412.90, 427.90)","372.48 (365.63, 379.40)","331.00 (324.33, 337.94)","333.44 (326.38, 340.63)"
Oregon,"436.77 (425.20, 448.21)","410.87 (400.00, 421.32)","352.71 (343.29, 361.96)","328.13 (319.06, 336.93)","300.33 (292.59, 308.54)","256.84 (249.84, 263.74)","219.11 (212.83, 225.50)","216.79 (210.64, 223.16)"
Pennsylvania,"555.80 (547.91, 563.47)","502.37 (495.20, 509.73)","431.14 (423.90, 438.16)","402.81 (395.98, 409.73)","364.20 (357.75, 370.85)","312.35 (306.48, 318.40)","267.41 (261.94, 273.11)","266.37 (260.71, 272.16)"
Rhode Island,"488.19 (475.14, 500.67)","452.34 (440.60, 464.02)","392.82 (381.99, 402.36)","360.42 (350.49, 369.87)","326.44 (317.23, 335.16)","286.55 (278.78, 293.87)","241.13 (233.69, 248.23)","239.33 (231.81, 247.05)"
South Carolina,"556.12 (546.45, 565.70)","507.44 (497.94, 516.60)","442.44 (434.12, 451.03)","415.63 (407.24, 424.37)","376.18 (368.19, 384.48)","315.71 (308.60, 323.05)","271.31 (264.74, 278.09)","265.14 (258.49, 271.85)"
South Dakota,"461.57 (451.15, 471.55)","426.51 (417.65, 435.70)","374.30 (366.12, 382.45)","349.91 (342.30, 357.92)","320.52 (313.62, 327.71)","274.57 (268.50, 280.77)","236.23 (230.68, 242.22)","232.64 (226.85, 238.70)"
Tennessee,"531.74 (522.87, 540.26)","498.17 (490.45, 506.53)","448.87 (441.19, 457.05)","431.40 (423.30, 439.55)","408.07 (400.32, 415.83)","351.91 (345.15, 359.19)","308.92 (302.53, 315.61)","307.95 (301.14, 314.66)"
Texas,"490.07 (481.81, 498.08)","455.26 (447.86, 462.92)","407.55 (400.44, 415.14)","383.86 (376.40, 391.26)","358.87 (351.91, 366.16)","303.41 (297.43, 309.86)","264.92 (259.09, 270.78)","261.10 (254.94, 267.10)"
Utah,"400.05 (388.26, 413.06)","373.51 (362.32, 385.10)","323.81 (314.69, 333.96)","305.50 (296.79, 314.93)","287.36 (279.34, 295.89)","250.67 (243.63, 258.27)","225.28 (218.92, 232.10)","228.50 (222.02, 235.41)"
Vermont,"472.06 (459.54, 485.93)","432.40 (420.60, 444.70)","369.27 (359.00, 379.53)","345.81 (336.47, 356.33)","308.75 (300.57, 317.88)","257.37 (250.23, 264.67)","220.60 (213.59, 227.51)","217.40 (210.89, 224.32)"
Virginia,"518.27 (509.24, 527.18)","470.87 (462.03, 479.49)","406.80 (398.59, 414.81)","379.11 (371.49, 386.67)","343.14 (336.50, 349.89)","288.62 (282.59, 294.48)","248.18 (242.72, 253.85)","240.84 (235.04, 246.73)"
Washington,"427.49 (416.30, 439.30)","395.97 (385.86, 406.68)","344.39 (334.94, 354.20)","319.82 (311.21, 328.45)","299.34 (291.80, 306.95)","256.03 (249.84, 262.57)","225.08 (219.54, 231.21)","220.14 (214.39, 225.84)"
West Virginia,"561.27 (552.35, 570.11)","520.58 (512.49, 528.31)","463.32 (455.52, 470.45)","437.03 (429.76, 444.87)","404.91 (397.74, 411.97)","348.30 (342.14, 354.71)","302.95 (296.80, 309.35)","301.86 (295.58, 308.27)"
Wisconsin,"473.05 (463.45, 483.38)","434.84 (425.51, 443.91)","380.51 (371.66, 389.33)","354.98 (347.07, 363.50)","325.37 (318.09, 333.09)","273.07 (267.08, 279.88)","237.28 (231.34, 243.34)","233.06 (227.00, 239.28)"
Wyoming,"421.43 (409.02, 433.99)","391.37 (381.10, 401.86)","346.84 (337.84, 356.23)","330.71 (321.97, 339.32)","307.21 (299.37, 315.19)","268.15 (261.45, 275.16)","237.15 (231.19, 243.20)","238.35 (231.86, 244.59)"
